References,Location,Sample number,Family,Species,Leaf life-span,Habitat,Photosynthetic pathway,Tissue,Extraction method,Solvent,Latitude (ºN),Longitude (ºE),Elevation (m),c.n.C27,c.n.C29,c.n.C31,c.n.C33,c.n.C35,d.n.C27,d.n.C29,d.n.C31,d.n.C33,d.n.C35
"Vogts et al., 2009",Gabon,,,Combretum conchipetalum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,25.4,81,135,5.6,1.1,,-37.3,-36.2,,
"Vogts et al., 2009",Gabon,,,Combretum racemosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.27639,14.11917,,4.1,156,16,8.5,,,-38.7,-38.1,,
"Vogts et al., 2009",Gabon,,Celastraceae,Cuervea macrophylla,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,2.00972,14.11917,,2.8,88.6,93.1,6,,,-38.2,-38.7,,
"Vogts et al., 2009",Gabon,,,Landolphia mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.95056,10.35167,,31.2,237,97.5,12.9,3.4,,,,,
"Vogts et al., 2009",Gabon,,,Paullinia pinnata,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,17.2,427,38,13.7,,,-39.7,-38.5,,
"Vogts et al., 2009",Gabon,,,Psychotria ealensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,15.2,453,13,4.3,,,-35.5,-35.3,,
"Vogts et al., 2009",Gabon,,,Coffea sp.,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.8,12.08333,,12.5,484,317,33.8,13.3,,-35.1,-34.6,,
"Vogts et al., 2009",Gabon,,,Combretum erosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.68333,11.91667,,21.6,1,18.5,,,-33,-32.3,-32,,
"Vogts et al., 2009",Gabon,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.98139,10.48806,,36.7,191,779,96,2.3,,-35.6,-36.1,-37,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,7.03333,2.46667,,4.2,373,119,122,2.6,,-35.6,-36.1,-34,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,6.08333,1.6,,22,22,538,61.9,1.2,-34.5,-36.7,-36.5,,
"Vogts et al., 2009",Benin,,,Combretum molle,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.06806,1.5525,,19.3,41.4,23.5,12.9,1,-31.9,-34.3,-35.7,,
"Vogts et al., 2009",Gabon,,,Englerina gabonensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,79.4,1933,38,,,,-42.2,,,
"Vogts et al., 2009",Congo,,,Ficus natalensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.36833,14.08417,,25.6,611,125,2.4,,,-38.8,,,
"Vogts et al., 2009",Benin,,,Ficus thonningii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.13361,1.43583,,11.4,84.4,63.3,7.9,,,-37.8,-37.9,-37.9,
"Vogts et al., 2009",Gabon,,,Oxyanthus unilocularis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.93472,10.31861,,9.6,363,415,42.3,1.4,,-36.8,-37,-35.8,
"Vogts et al., 2009",Gabon,,,Stipularia africana,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,9.2,19.5,31.2,9,,,-34.3,,,
"Vogts et al., 2009",Gabon,,,Berlinia confusa,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.66667,13,,114.3,197,21,1.9,1.4,,-34.7,,,
"Vogts et al., 2009",Gabon,,,Cynometra mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.00306,10.43972,,13.4,343,29.2,1.9,,,-39.1,,,
"Vogts et al., 2009",Gabon,,,Ficus ottoniifolia,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,0.85,13.45,,11,124,76.2,6.5,0.1,,-44.9,-45.9,,
"Vogts et al., 2009",Burkina,,,Oncoba spinosa,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,12.23833,-1.56159,,,97.6,223,27.5,,,-38,-38.4,,
"Vogts et al., 2009",Gabon,,,Psychotria djumaensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,16.3,359,53.2,1.7,,,-33.9,-33.1,,
"Vogts et al., 2009",Gabon,,,Treculia africana,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.8,12.08333,,18.7,173,99.7,11.2,,,-38.1,-39.4,,
"Vogts et al., 2009",Gabon,,,Uapaca guineensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-1.61833,10.70083,,2.3,75.9,141,32.6,2,,-39.3,-38.6,-37.2,
"Vogts et al., 2009",Sudan,,,Abutilon graveolens,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,20.4,46.4,42.2,13.8,1.4,-33.4,-33.6,-34.4,-33.5,
"Vogts et al., 2009",Sudan,,,Achyrantes aspera,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,10.1,24.9,47.4,1,5.2,,-32.2,-34.2,-35.9,
"Vogts et al., 2009",Sudan,,,Digeria muricata,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,26,45.1,116,19.6,0.4,-37.9,-36.9,-37.7,-37.6,
"Vogts et al., 2009",Sudan,,,Heliotropium sp.,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,15.1,51.9,36.6,32.3,2.1,-33.5,-36,-36.2,-36.2,
"Vogts et al., 2009",Sudan,,,Ipomoea cordofana,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,13.9,21.1,9.4,13,19.2,-33.7,-34.6,-36.7,-37.1,
"Vogts et al., 2009",Sudan,,,Ocimum basilicum,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,44.3,79.3,135.1,191.6,26.2,-30.3,-29.1,-31.8,-33.1,-28.2
"Vogts et al., 2009",Sudan,,,Vigna sp.,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,14.3,3.3,83.9,62.7,1.1,-36.2,-36.6,-39.4,-38.4,
"Vogts et al., 2009",Sudan,,,Xanthium brasilicum Vell.,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,33.6,7.5,51.6,13.5,1.5,,-33.7,-34.8,-34.7,
"Vogts et al., 2009",Namibia,,,Acacia mellifera,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,49.2,5,16,2.3,,-31.6,-32.6,-32.8,,
"Vogts et al., 2009",Namibia,,,Acacia nebrownii,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.75,16.93333,,6.5,7.9,6.3,2.6,0.2,-30.6,-32.3,-33.9,,
"Vogts et al., 2009",Namibia,,,Catophractes alexandri,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,142.8,671,155,428,5,,-34,-34.6,,
"Vogts et al., 2009","Tanzania, Morogoro",,,Crassocephalum mannii,,SV,C3,Whole Plant,ASE ,DCM/MeOH 99:1,-6.8221,37.6616,,21.2,33.8,167,32.5,3.4,,-33.8,-35.1,-34.6,
"Vogts et al., 2009",Namibia,,,Dichrostachis cinera,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,11.1,28.8,68.9,2.4,1,-32.9,-33.8,-32.5,-31.6,
"Vogts et al., 2009",Namibia,,,Grewia flavescens,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,51,1494,1145,55.5,,,-36.1,-35.4,,
"Vogts et al., 2009",Namibia,,,Grewia flavescens,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,22.3,435,598,47,4.1,,-35.7,-37,-35.5,
"Vogts et al., 2009",Namibia,,,Gymnosporia buxifolia,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,22.1,46.5,112,34.9,2,-35.3,-33.9,-33.1,-32.8,
"Vogts et al., 2009",Namibia,,,Salvadora persica,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-22.7,14.95,,4.4,7.4,14.3,1.9,0.3,-34.3,-36.3,-35.5,-34.1,
"Vogts et al., 2009",Namibia,,,Acacia erioloba,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-22.7,14.95,,39.2,47.4,12.1,4.3,,-34.4,-34.6,-36.3,-34.8,
"Vogts et al., 2009",Namibia,,,Acacia karroo,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,15.8,42,11.9,0.6,0.1,-32.3,-32.2,-33.7,,
"Vogts et al., 2009",Namibia,,,Acacia kirkii,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,13.7,47.5,176,59.8,,,-35.5,-37.1,-37.1,
"Vogts et al., 2009",Namibia,,,Acacia luederitzii,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,16.5,8.1,28.9,3.4,,-31.4,-31.3,-30.1,-31.4,
"Vogts et al., 2009",Sudan,,,Acacia mellifera,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,62.8,4,53.1,15.8,,-32.6,-33.6,-33,,
"Vogts et al., 2009","Sudan, Hashab",,,Acacia senegal,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,13.36667,25.46667,,21.4,7.8,42.3,1.1,0.5,-34.5,-32.3,-34.9,-35.2,
"Vogts et al., 2009",Namibia,,,Adansonia digitata,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,83.9,154,325,153,8,-35.3,-36,-36,-37,
"Vogts et al., 2009",Namibia,,,Albizia anthelmintica,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,12,129,7,,,-33,-33.5,,,
"Vogts et al., 2009","Sudan, Higlig",,,Balanites aegyptiaca,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,15,12.7,6.5,1.6,0.2,-30.8,-31.5,-31.8,,
"Vogts et al., 2009",Namibia,,,Boscia albitrunca,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,24.9,5.8,,,,,,,,
"Vogts et al., 2009",Namibia,,,Boscia foetida,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-20.41667,16.48333,,23.3,132,97.5,12.8,1.9,,-34.3,-30.9,-32.8,
"Vogts et al., 2009",Namibia,,,Burkea africana,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,38.1,72.1,765,742,1.2,,,-36,-36,
"Vogts et al., 2009",Namibia,,,Colophospermum mopane,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.75,16.93333,,34.2,32.7,242,193,2,-29.3,-30.1,-30.6,-30.9,
"Vogts et al., 2009",Namibia,,,Colophospermum mopane,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,6.6,5.5,28,23.9,1.7,,-31.9,-32.3,-30.4,
"Vogts et al., 2009",Namibia,,,Combretum apiculatum,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,6.9,9.5,39.2,15,0.2,,,-34.7,-34.8,
"Vogts et al., 2009",Namibia,,,Combretum imberbe,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.75,16.93333,,14.8,25.1,7.5,1.3,0.2,-28.9,-32.1,-33.1,,
"Vogts et al., 2009",Namibia,,,Commiphora glaucescens,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,33.2,5.9,182,7.3,8.4,-30.4,-30.9,-30.1,-30.1,-29.4
"Vogts et al., 2009",Namibia,,,Commiphora merkeri,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,5.8,11.9,2.4,5.9,0.5,-36,-37.7,-37.7,-36.3,
"Vogts et al., 2009",Namibia,,,Euclea pseudebenus,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-22.7,14.95,,10.2,41,152,798,3.5,,,-31,-30.2,
"Vogts et al., 2009",Namibia,,,Faidherbia albida,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-22.7,14.95,,4.2,1.8,0.5,0.2,,-33.2,-31.9,,,
"Vogts et al., 2009","Tanzania, Morogoro",,,Leucaena leucocephala,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-6.8221,37.6616,,13.6,33.9,17.2,2.1,,-32.4,-36.9,-33.6,,
"Vogts et al., 2009","Tanzania, Morogoro",,,Morus alba,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-6.8221,37.6616,,22.5,46,166,65.9,0.4,-35.5,-35.5,-37.4,-38.1,
"Vogts et al., 2009",Namibia,,,Sclerocarya birrea,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,217.1,484,377,94.4,8.8,-31.4,-31.7,-31.7,,
"Vogts et al., 2009","Tanzania, Morogoro",,,Sesbania sesban,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-6.8221,37.6616,,18.2,16.8,7.7,3.6,0.3,-34.9,-36.3,-37.1,-33.5,
"Vogts et al., 2009",Namibia,,,Tamarix usneoides,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-22.7,14.95,,7.4,26,69.4,3.5,,-28.9,-28.1,-27.4,,
"Vogts et al., 2009",Namibia,,,Terminalia prunioides,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,34.5,143,67.5,5.5,0.4,-31.8,-33,-36.2,,
"Vogts et al., 2009",Namibia,,,Ziziphus mucronata,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,-18.48333,13.76667,,17.3,8.7,8.5,2.9,1.7,-32.6,-29.9,-33.8,-34.4,
"Vogts et al., 2009",Sudan,,,Ziziphus spina-christi,,SV,C3,Leaves,ASE ,DCM/MeOH 99:1,12.86281,30.21764,,13.1,12.9,13.6,11.7,2.3,-32.3,-32.3,-35,-35.4,-35.5
"Rammerskirchen et al., 2006",Namibia,,Poaceae,Aristida adscensionis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,17.8,63.3,411.1,8.4,,-29,-24.9,-25.3,-23.8,
"Rammerskirchen et al., 2006",Zimbabwe,,Poaceae,Aristida barbicollis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,13,3.3,112.2,49.4,6.9,-20,-21.4,-23.9,-22.1,-21.2
"Rammerskirchen et al., 2006",Namibia,,Poaceae,Aristida congesta,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,19.4,5.5,225.5,62.8,6.8,-20.4,-22.9,-24.3,-24,-24.2
"Rammerskirchen et al., 2006",Zimbabwe,,Poaceae,Aristida gracili?ora,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,4.6,45.1,23.6,44.2,3.4,-25.6,-23.9,-24.1,-23.9,
"Rammerskirchen et al., 2006",Zimbabwe,,Poaceae,Aristida meridionalis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,17.2,27.4,44.9,12.4,1,-21.4,-22.4,-22.8,-22.4,
"Rammerskirchen et al., 2006",Namibia,,Poaceae,Aristida meridionalis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,26.9,31.7,62.3,21.4,1.3,-20.8,-21.4,-21.9,-22.7,
"Rammerskirchen et al., 2006",Namibia,,Aristidoideae,Stipagrostis ciliata,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,4.3,8.1,69.3,25.2,1,-24.7,-21.7,-19.8,-20.7,
"Rammerskirchen et al., 2006",Namibia,,Aristidoideae,Stipagrostis hirtigluma,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,87.2,156.1,593.9,162.3,11.3,-25.3,-25,-23.2,-24,
"Rammerskirchen et al., 2006",Namibia,,Aristidoideae,Stipagrostis uniplumis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,18.7,41.4,1.8,16.5,1.5,-23.2,-24.5,-25.9,-24,
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Chloris gayana,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,20.6,35.3,188.3,287.6,63.4,-23,-22.5,-23.4,-24.9,-24
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Chloris virgata,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,17.8,27.5,42.2,51.9,22.1,-20.3,-19.6,-20.2,-21.1,-21.9
"Rammerskirchen et al., 2006",Namibia,,Chloridoideae,Chloris virgata,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,13.8,15.1,26.4,16.2,14,-24.2,-20.6,-21.7,-21.1,-20.9
"Rammerskirchen et al., 2006",Namibia,,Chloridoideae,Enneapogon sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,30.5,69.8,352.4,47.9,79.8,-22.3,-23,-22.7,-22.5,-23.2
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Enneapogon cenchroides,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,9.4,3.4,215.4,2.1,21.2,-19.5,-19.4,-20.9,-22.7,-23.7
"Rammerskirchen et al., 2006",Namibia,,Chloridoideae,Enneapogon cenchroides,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,14.9,21.9,13.6,32.7,3.1,-19.5,-18.3,-20.1,-20.1,
"Rammerskirchen et al., 2006",Namibia,,Chloridoideae,Eragrostis nindensis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,12.1,14.9,33.7,29.3,5.2,-24.4,-22.7,-24.6,-24,
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Eragrostis superba,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,60.2,44.7,42.1,54.7,14.5,-20.4,-20.8,-21.8,-22.7,-23
"Rammerskirchen et al., 2006",Sudan,,Chloridoideae,Eragrostis tremula,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,8.38,30.8,,17.1,41.8,178.4,78.2,8,-24,-25.1,-25.9,-26.3,-26.4
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Eragrostis violacea de winter,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,25.5,31.7,14,76.8,8.4,-18,-18.1,-19.6,-19.2,-19.3
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Eragrostis viscosa,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,79.5,149.1,139.4,77.7,7.1,-20,-19.6,-21.8,-22.4,-21.8
"Rammerskirchen et al., 2006",Namibia,,Chloridoideae,Schmidtia kalahariensis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-22.8,17.1,,61.6,35.6,225.6,85.6,166.9,-21.8,-22,-22.9,-20.5,-21.3
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Sporobolus ioclados,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,28,41.3,116.5,119.6,16.8,-19.9,-21.8,-22.4,-22,-21.8
"Rammerskirchen et al., 2006",Zimbabwe,,Chloridoideae,Sporobolus pyramidalis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,66.6,95.8,185.2,222.4,41.1,-21.2,-22,-22.1,-22.7,-23.8
"Rammerskirchen et al., 2006",Zimbabwe,,Panicoideae,Bothriochloa insculpta,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,20.7,24.5,39.5,18.5,2.4,-18,-19.2,-18.7,-18.6,
"Rammerskirchen et al., 2006",Zimbabwe,,Panicoideae,Brachiaria erucitormis,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,3.9,8.1,34.1,64.2,2.9,-21.9,-20.4,-20.9,-20.3,
"Rammerskirchen et al., 2006",Zimbabwe,,Panicoideae,Digitaria milanjiana,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,18.4,44.2,12.6,113.9,36.1,-20.5,-18.9,-19.5,-19.7,-20.4
"Rammerskirchen et al., 2006",Zimbabwe,,Panicoideae,Hyparrhenia ?lipendula,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,-20.3,28.5,,37.7,43.6,183.1,265.6,59.4,-21.5,-21.9,-21.9,-22.8,-23
