References,Location,Sample number,Family,Species,Leaf life-span,Source,Photosynthetic pathway,Tissue,Extraction method,Solvent,Latitude (ºN),Longitude (ºE),Elevation (m),c.n.C27,c.n.C29,c.n.C31,c.n.C33,c.n.C35,d.n.C27,d.n.C29,d.n.C31,d.n.C33,d.n.C35
"Vogts et al., 2009",Gabon,,,Combretum conchipetalum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,25.4,81,135,5.6,1.1,,-37.3,-36.2,,
"Vogts et al., 2009",Gabon,,,Combretum racemosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.27639,14.11917,,4.1,156,16,8.5,,,-38.7,-38.1,,
"Vogts et al., 2009",Gabon,,Celastraceae,Cuervea macrophylla,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,2.00972,14.11917,,2.8,88.6,93.1,6,,,-38.2,-38.7,,
"Vogts et al., 2009",Gabon,,,Landolphia mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.95056,10.35167,,31.2,237,97.5,12.9,3.4,,,,,
"Vogts et al., 2009",Gabon,,,Paullinia pinnata,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,17.2,427,38,13.7,,,-39.7,-38.5,,
"Vogts et al., 2009",Gabon,,,Psychotria ealensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,15.2,453,13,4.3,,,-35.5,-35.3,,
"Vogts et al., 2009",Gabon,,,Coffea sp.,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.8,12.08333,,12.5,484,317,33.8,13.3,,-35.1,-34.6,,
"Vogts et al., 2009",Gabon,,,Combretum erosum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.68333,11.91667,,21.6,1,18.5,,,-33,-32.3,-32,,
"Vogts et al., 2009",Gabon,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.98139,10.48806,,36.7,191,779,96,2.3,,-35.6,-36.1,-37,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,7.03333,2.46667,,4.2,373,119,122,2.6,,-35.6,-36.1,-34,
"Vogts et al., 2009",Benin,,,Combretum indicum,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,6.08333,1.6,,22,22,538,61.9,1.2,-34.5,-36.7,-36.5,,
"Vogts et al., 2009",Benin,,,Combretum molle,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.06806,1.5525,,19.3,41.4,23.5,12.9,1,-31.9,-34.3,-35.7,,
"Vogts et al., 2009",Gabon,,,Englerina gabonensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-3.01667,10.36667,,79.4,1933,38,,,,-42.2,,,
"Vogts et al., 2009",Congo,,,Ficus natalensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.36833,14.08417,,25.6,611,125,2.4,,,-38.8,,,
"Vogts et al., 2009",Benin,,,Ficus thonningii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,10.13361,1.43583,,11.4,84.4,63.3,7.9,,,-37.8,-37.9,-37.9,
"Vogts et al., 2009",Gabon,,,Oxyanthus unilocularis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.93472,10.31861,,9.6,363,415,42.3,1.4,,-36.8,-37,-35.8,
"Vogts et al., 2009",Gabon,,,Stipularia africana,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,9.2,19.5,31.2,9,,,-34.3,,,
"Vogts et al., 2009",Gabon,,,Berlinia confusa,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.66667,13,,114.3,197,21,1.9,1.4,,-34.7,,,
"Vogts et al., 2009",Gabon,,,Cynometra mannii,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-2.00306,10.43972,,13.4,343,29.2,1.9,,,-39.1,,,
"Vogts et al., 2009",Gabon,,,Ficus ottoniifolia,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,0.85,13.45,,11,124,76.2,6.5,0.1,,-44.9,-45.9,,
"Vogts et al., 2009",Burkina,,,Oncoba spinosa,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,12.23833,-1.56159,,,97.6,223,27.5,,,-38,-38.4,,
"Vogts et al., 2009",Gabon,,,Psychotria djumaensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,1.02083,13.99333,,16.3,359,53.2,1.7,,,-33.9,-33.1,,
"Vogts et al., 2009",Gabon,,,Treculia africana,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-0.8,12.08333,,18.7,173,99.7,11.2,,,-38.1,-39.4,,
"Vogts et al., 2009",Gabon,,,Uapaca guineensis,,RF,C3,Leaves,ASE ,DCM/MeOH 99:1,-1.61833,10.70083,,2.3,75.9,141,32.6,2,,-39.3,-38.6,-37.2,
"Garcin et al., 2014","Cameroon, Mora",MORA PL1,Hypericaceae,Harungana madagascariensis Lam. ex. Poiret, E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,25,11,24,0.4,,-28.4,-28.7,-29.1,,
"Garcin et al., 2014","Cameroon, Rhumsiki",RHUM PL5,Meliaceae,Azadirachta indica A., E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,19,23,41,9,,-30.9,-32.1,-34.2,-33.1,
"Garcin et al., 2014","Cameroon, Debundscha",DEBU PL6,Begoniaceae,Begonia ampla Hook. F.,,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1.5,9.5,22,3.8,,-38.8,-41.1,-42.2,-42.4,
"Garcin et al., 2014","Cameroon, Barombi Mbo",BARO PL7,Caesalpiniaceae,Berlinia sp., SD/E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1.2,74,84,9.7,,-37.3,-38.1,-39.1,-39.3,
"Garcin et al., 2014","Cameroon, Ossa",OSSA PL6,Sapindaceae,Blighia sp., SD/E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.1,13,18,1.1,,-34.1,-42.5,-42.8,-40.5,
"Garcin et al., 2014","Cameroon, Mamguiewa",MAMG PL4,Euphorbiaceae,Bridelia ferruginea Benth., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,7.1,29,4,8.6,,-33.6,-34.4,-36.6,-37.4,
"Garcin et al., 2014","Cameroon, Rhumsiki",RHUM PL4,Caesalpiniaceae,Cassia siamea Lam., E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,36,69,2,0.8,,-34.7,-36,-36.8,-36.8,
"Garcin et al., 2014","Cameroon, Barombi Mbo",BARO PL3,Moraceae,Cecropia peltata L., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1.8,83,27,14,,-37.8,-39,-39.7,-39.8,
"Garcin et al., 2014","Cameroon, Mamguiewa",MAMG PL2,Caesalpiniaceae,Piliostigma thonningii (Schum.) Milne-Redh., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,70,11,91,0.8,,-33.6,-32.9,-32.4,,
"Garcin et al., 2014","Cameroon, Manengouba",MANE PL1,Cyperaceae,Cyperus atroviridis C. D. Cl,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.8,1.2,3.4,3.2,,-19.4,-20.2,-20.1,-20,
"Garcin et al., 2014","Cameroon, Mamguiewa",MAMG PL6,Rubiaceae,Sarcocephalus latifolius (Smith.) Bruce, E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,12,69,1,1.4,,-32.5,-33.5,-34.3,,
"Garcin et al., 2014","Cameroon, Tizong",TIZO PL9,Cyperaceae,Cyperus koyaliensis Cherm.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,28,1.7,3.3,3.5,,-22.7,-24.1,-22.1,-21.3,
"Garcin et al., 2014","Cameroon, Tabéré",TABE PL3,Cyperaceae,Cyperus koyaliensis Cherm.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1.1,2.5,5.3,8.9,,-21.5,-20.6,-19.2,-18.4,
"Garcin et al., 2014","Cameroon, Tizong",TIZO PL7,Caesalpiniaceae,Lophira lanceolata Tiegh. ex Keay, D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,130,33,2,0.5,,-35.7,-34.8,-32.5,,
"Garcin et al., 2014","Cameroon, Mora",MORA PL7,Poaceae,Digitaria horizontalis Willd.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,44,86,14,1,,-17.1,-17.5,-17.9,-18.3,
"Garcin et al., 2014","Cameroon, Tizong",TIZO PL10,Poaceae,Digitaria horizontalis Willd.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.9,17,38,18,,-21.3,-21.3,-20.5,-20.4,
"Garcin et al., 2014","Cameroon, Debundscha",DEBU PL4,Dracaenaceae,Dracaena aubryana Brongn. ex C.J.Morren,,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.4,16,66,17,,-39.5,-40.5,-42.1,-42.9,
"Garcin et al., 2014","Cameroon, Tabéré",TABE PL5,Hypericaceae,Harungana madagascariensis Lam. ex. Poiret, E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.7,9,3.5,0.1,,-32.9,-35.7,-34.8,,
"Garcin et al., 2014","Cameroon, Manengouba",MANE PL4,Poaceae,Eragrostis sp.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,2.1,57,85,54,,-21.2,-21,-19.8,-19,
"Garcin et al., 2014","Cameroon, Ossa",OSSA PL2,Caesalpiniaceae,Guibourtia demeusei (Harms) J. Leonard, E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,2.2,1,99,6.5,,-42.1,-42.8,-43.5,-43.6,
"Garcin et al., 2014","Cameroon, Assom",ASSO PL2,Hypericaceae,Harungana madagascariensis Lam. ex. Poiret, E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1,23,15,0.5,,-30.1,-36.3,-34.5,-27.1,
"Garcin et al., 2014","Cameroon, Assom",ASSO PL8,Poaceae,Hyparrhenia familiaris (Steud.) Stapf.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,9.1,2,39,26,,-18.3,-19,-19.5,-20.1,
"Garcin et al., 2014","Cameroon, Assom",ASSO PL5,Combretaceae,Terminalia glaucescens Planch. ex Benth., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,94,15,11,2.1,,-31.6,-31.4,-31.6,,
"Garcin et al., 2014","Cameroon, Assom",ASSO PL7,Annonaceae,Annona senegalensis Pers., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,18,6,9.9,0.1,,-30.1,-30,-29.9,,
"Garcin et al., 2014","Cameroon, Manengouba",MANE PL12,Myricaceae,Morella arborea (Hutch.). Cheek, E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,31,59,51,2.8,,-35.2,-33.3,-32.5,-32.2,
"Garcin et al., 2014","Cameroon, Mamguiewa",MAMG PL7,Poaceae,Paspalum scorbiculatum Linn.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,7.1,13,61,68,,-19.6,-20.6,-20.1,-20.4,
"Garcin et al., 2014","Cameroon, Baleng",BALE PL2,Meliaceae,Trichilia rubescens Oliv., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,3.6,17,41,1.4,,-41.1,-42.1,-42.2,,
"Garcin et al., 2014","Cameroon, Baleng",BALE PL3,Verbenaceae,Vitex grandifolia Gürke, E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.6,5.5,25,21,,-33.3,-36,-37.2,,
"Garcin et al., 2014","Cameroon, Baleng",BALE PL6,Poaceae,Pennisetum purpureum Schumach.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,28,91,61,63,,-17.9,-18.2,-18.7,-18.8,
"Garcin et al., 2014","Cameroon, Rhumsiki",RHUM PL7,Poaceae,Pennisetum ramosum (Hochst.) Schweinf.,,GR,C4,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,6,67,11,81,,-18.5,-18.7,-18.8,-18.6,
"Garcin et al., 2014","Cameroon, Mora",MORA PL5,Caesalpiniaceae,Piliostigma thonningii (Schum.) Milne-Redh., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,4.1,2,21,0.6,,-31.4,-31,-31.1,-34.3,
"Garcin et al., 2014","Cameroon, Manengouba",MANE PL10,Monimiaceae,Xymalos monospora (Harv.) Baill. ex Warb. , E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,3.9,22,7.4,0.1,,-35.4,-35.8,-35.9,,
"Garcin et al., 2014","Cameroon, Mora",MORA PL3,Cyperaceae,Schoenoplectus oxyjulos (S.S. Hooper) J.Raynal,,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.7,1.9,5.5,2.3,,-33.2,-34.5,-37.5,-36.2,
"Garcin et al., 2014","Cameroon, Ossa",OSSA PL4,Cyperaceae,Scleria foliosa Hochst ex. A. Rich.,,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1,1.6,1.4,0.5,,-37.6,-39.2,-42.3,-41.9,
"Garcin et al., 2014","Cameroon, Rhumsiki",RHUM PL1,Poaceae,Setaria sp.,,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,10,14,11,7.5,,-34.8,-35.1,-34.9,-35.2,
"Garcin et al., 2014","Cameroon, Debundscha",DEBU PL3,Olacaceae,Strombosia pustulata Oliv., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,1.2,71,37,25,,-37.4,-38.4,-38.8,-38.9,
"Garcin et al., 2014","Cameroon, Ossa",OSSA PL1,Sapotaceae,Synsepalum brevipes (Baker) T.D. Penn., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.3,1.9,0.8,0.6,,-34.7,-40.3,-38.6,-37.5,
"Garcin et al., 2014","Cameroon, Assom",ASSO PL1,Myrtaceae,Syzygium guineense (Willd.) DC var. guineense, E,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,28,27,51,2.4,,-38.5,-38.5,-37.7,-36.1,
"Garcin et al., 2014","Cameroon, Tabéré",TABE PL8,Combretaceae,Terminalia glaucescens Planch. ex Benth., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,16,16,12,12,,-40.9,-41.6,-42.2,-42.4,
"Garcin et al., 2014","Cameroon, Tizong",TIZO PL3,Combretaceae,Terminalia glaucescens Planchon., D,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,5.8,24,63,28,,-35.2,-35.3,-35.4,-35.5,
"Garcin et al., 2014","Cameroon, Tabéré",TABE PL6,Asteraceae,Tithonia diversifolia (Hemsl.) A. Gray,,SV,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,11,75,13,2,,-38.9,-38.8,-38.1,-37.4,
"Garcin et al., 2014","Cameroon, Barombi Mbo",BARO PL5,Meliaceae,Trichilia cf. rubescens Oliv., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,2.8,79,33,3.1,,-34.7,-35.1,-35.5,-35.1,
"Garcin et al., 2014","Cameroon, Debundscha",DEBU PL2,Meliaceae,Trichilia rubescens Oliv., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.4,61,71,9.5,,,-40.2,-39.8,-36.7,
"Garcin et al., 2014","Cameroon, Ossa",OSSA PL5,Meliaceae,Trichilia rubescens Oliv., E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.3,3.3,7.3,5,,-34.8,-43.7,-45.1,-46.2,
"Garcin et al., 2014","Cameroon, Baleng",BALE PL1,Moraceae,Trilepisium madagascariensis DC., SD/E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,5.2,14,15,29,,-38.6,-37.9,-38.3,-39.4,
"Garcin et al., 2014","Cameroon, Barombi Mbo",BARO PL6,Moraceae,Trilepisium madagascariensis DC., SD/E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.4,25,82,36,,-36.7,-38.4,-38.8,-39,
"Garcin et al., 2014","Cameroon, Debundscha",DEBU PL5,Moraceae,Trilepisium madagascariensis DC., SD/E,RF,C3,Leaves,Ultrasonic,DCM/MeOH 9:1,,,,0.5,25,76,38,,-37.7,-38.5,-38.7,-39.3,
"Badewien et al., 2016 ",Angola,I,Apiaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,7.8,7.2,,,,,,,,
"Badewien et al., 2016 ",Angola,I,Asteraceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.50448,17.21135,,13.2,36,264.8,33.4,179.4,,,-37.64,-37.67,-37.733
"Badewien et al., 2016 ",Angola,II,Asteraceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.85,15.05,,23.6,68.3,44,7.1,,-34.104,-34.25,-34.65,,
"Badewien et al., 2016 ",Angola,III,Asteraceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,33.5,8.3,11.6,8.7,,,,,,
"Badewien et al., 2016 ",Angola,IV,Asteraceae,Vernonia colorata Willd.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.73835,13.98575,,10.8,66,12.3,9,2.3,,-35.16,-35.19,,
"Badewien et al., 2016 ",Angola,V,Asteraceae,Vernonia sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.73835,13.98575,,10.7,65.6,21.8,47.9,11.7,,-36.58,,,
"Badewien et al., 2016 ",Angola,I,Capparaceae,Cleome sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,7.9,13.1,56.5,28.4,,,,-37.72,-37.49,
"Badewien et al., 2016 ",Angola,I,Combretaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.35445,13.54422,,16,769.4,453.7,4.2,4.7,,-36.32,-36.23,,
"Badewien et al., 2016 ",Angola,II,Combretaceae,Combretum paniculatumVent.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,,,,8.7,174.2,143.7,14.6,,,,-35.66,-35.81,
"Badewien et al., 2016 ",Angola,III,Combretaceae,Terminalia brachystemma Welw. ex Hiern,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,,,,32.7,244,34.8,1,,-32.779,-31.13,-29.32,,
"Badewien et al., 2016 ",Angola,I,Commelinaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,29.7,58.3,222.9,12.5,14.2,,,-38.27,-39.16,
"Badewien et al., 2016 ",Angola,I,Crassulaceae,Crassula vaginata Eckl. & Zeyh.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.85,15.05,,4.3,9.6,71.6,194.8,42.5,,,-42.12,-43.21,-43.548
"Badewien et al., 2016 ",Angola,I,Euphorbiaceae,Acalypha sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,0.6,2.3,4.5,1,,,-37.24,-38.07,,
"Badewien et al., 2016 ",Angola,II,Euphorbiaceae,Croton gratissimus Burch.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.73667,13.98575,,13.8,54.7,42.7,9.6,3.3,,-35.44,-35.35,,
"Badewien et al., 2016 ",Angola,III,Euphorbiaceae,Uapaca sansibarica Pax.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.83333,14.96667,,8.3,589.5,541.4,45.3,,,-36.61,-36.63,,
"Badewien et al., 2016 ",Angola,I,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,4.4,15.2,16.5,7.9,,,-34.21,-34.28,,
"Badewien et al., 2016 ",Angola,II,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,15.7,21.9,4.2,13.2,,-36.873,-37.09,-37.82,,
"Badewien et al., 2016 ",Angola,III,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.46528,17.03698,,,7.5,9.2,1.6,,,-36.7,-38.74,,
"Badewien et al., 2016 ",Angola,IV,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.5,16.9,,7.6,23.3,28.5,9,7.3,,,,,
"Badewien et al., 2016 ",Angola,V,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.50448,17.21135,,25.1,38.4,26.2,6,,,,,,
"Badewien et al., 2016 ",Angola,VI,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.16667,16.9,,3.1,13.2,29.6,5.4,,,-38.55,-39.13,,
"Badewien et al., 2016 ",Angola,VII,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.85,15.05,,18.6,51.3,17.1,,,,-42.28,,,
"Badewien et al., 2016 ",Angola,VIII,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.06667,16,,4,13.8,12.4,3.1,,,-34.65,-34.12,,
"Badewien et al., 2016 ",Angola,IX,Fabaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.06667,16.61667,,15.6,664.9,295.9,24.4,4.4,,-35.62,-34.99,,
"Badewien et al., 2016 ",Angola,X,Fabaceae,Brachystegia sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.78265,14.88377,,36.7,11.8,18.9,,,-31.377,-30.37,,,
"Badewien et al., 2016 ",Angola,XI,Fabaceae,Brachystegia wangermeeana De Wild.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.50448,17.21135,,95.6,249.2,69.6,17,,,-30.58,-33.81,,
"Badewien et al., 2016 ",Angola,XII,Fabaceae,Pterocarpus tinctoria Welw.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.73667,13.74252,,17.6,9.8,131.3,19,,,-31.55,-31.69,,
"Badewien et al., 2016 ",Angola,XIII,Fabaceae,Rhynchosia sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,8.9,38.8,66.9,15.5,,,-35.37,-36.27,,
"Badewien et al., 2016 ",Angola,XIV,Fabaceae,Tessmannia sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.75595,13.84585,,20.7,156.7,45.8,6.2,,,-32.57,,,
"Badewien et al., 2016 ",Angola,I,Melastomataceae,Dissotis sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,11.8,63.2,379.4,365.4,8,,-34.09,-34.2,-33.84,
"Badewien et al., 2016 ",Angola,II,Melastomataceae,Dissotis sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.88263,15.22867,,31,85.8,762.1,513.1,3.7,,-36.21,-35.98,-35.3,
"Badewien et al., 2016 ",Angola,I,Pedaliaceae,Sesamum sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.38662,13.18228,,81.1,44.9,654.5,593.2,87.7,,-35.36,-35.43,-35.2,
"Badewien et al., 2016 ",Angola,I,Plumbaginaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.88263,15.22867,,11.4,31.5,145.9,34.1,,,-34.23,-36.57,-34.35,
"Badewien et al., 2016 ",Angola,I,Proteaceae,Protea sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,3.8,2.3,2.7,0.7,,-31.475,-32.07,-30.23,,
"Badewien et al., 2016 ",Angola,II,Proteaceae,Protea sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.06667,16.61667,,2.9,3.6,1.3,0.6,,,-33.4,,,
"Badewien et al., 2016 ",Angola,I,Ranunculaceae,Clematis villosa,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-11.71667,14.45,,9.8,23.3,46,2.8,,-34.892,-32.73,-32.81,,
"Badewien et al., 2016 ",Angola,I,Rubiaceae,,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,66,1213.4,225,388.4,27.8,,-34.51,-34.99,-35.72,
"Badewien et al., 2016 ",Angola,I,Scrophulariaceae,Aptosimum lineare Marloth & Engl.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.73667,13.98575,,20.3,46.6,97.4,54.7,,,-34.26,-36.67,-37.25,
"Badewien et al., 2016 ",Angola,I,Thymelaeaceae,Gnidia chrysantha (Solms ex Schweinf. Gilg ,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-12.46528,17.03698,,26.9,3.8,31.1,,,-36.523,-38.26,-38.87,,
"Badewien et al., 2016 ",Angola,I,Verbenaceae,Clerodendrum sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.38662,13.18228,,7.9,3.6,3.2,1,,,-34.65,,,
"Badewien et al., 2016 ",Angola,II,Verbenaceae,Stachytarpheta elegans Welw.,,SV,C3,Leaves,ASE ,DCM/MeOH 9:1,-9.38662,13.18228,,7.1,47.7,24.5,549.1,62.4,,,-35.63,-36.72,-37.495
"Badewien et al., 2016 ",Angola,I,Cyperaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,16.2,29.3,67.3,75.6,39.8,,,,,
"Badewien et al., 2016 ",Angola,II,Cyperaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,7.9,9.8,22.2,17,,,,-22.41,-21.61,
"Badewien et al., 2016 ",Angola,III,Cyperaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-9.06667,16,,17.5,28.7,26.8,36.2,27,,,,,
"Badewien et al., 2016 ",Angola,I,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,26.2,26.9,36.9,18.2,,,,,,
"Badewien et al., 2016 ",Angola,II,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,6.2,11.7,48.4,23.8,9.1,,,-20.72,-20.47,
"Badewien et al., 2016 ",Angola,III,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.48203,17.10527,,12.1,33.4,73.1,36.2,19.5,,-25.79,-22.64,-21.95,
"Badewien et al., 2016 ",Angola,IV,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.50448,17.21135,,47.4,97.7,88.3,19.8,83.9,,-20.39,-21.27,-21.18,-20.895
"Badewien et al., 2016 ",Angola,V,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-11.85,15.05,,7.9,9.1,16,9.9,,,-26.16,-24.78,,
"Badewien et al., 2016 ",Angola,VI,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-11.85,15.05,,22.9,5.1,119.3,34.9,7.2,,-20.02,-19.94,-23.22,
"Badewien et al., 2016 ",Angola,VII,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-11.71667,14.45,,23.1,54.2,67.3,56.9,2.1,,-19.74,-20.05,-20.05,
"Badewien et al., 2016 ",Angola,VIII,Poaceae,,,GR,C4,Leaves,ASE ,DCM/MeOH 9:1,-12.4985,16.77568,,36.9,36.5,19,11.8,,-20.083,-21.94,-24.74,,
