Depth [m],Age [ka BP],δD Alk [‰ SMOW],δD Alk std dev [±],BIT,Alk C37/C38
0.01,0.495,,,0.0927,
0.06,0.598,,,0.088,
0.11,0.702,,,0.0854,0.743
0.16,0.805,-188.968,0.552,0.0978,1.134
0.21,0.955,,,0.123,1.261
0.26,1.135,-190.062,15.042,0.0983,
0.31,1.315,,,0.102,1.181
0.36,1.496,-192.405,2.158,0.1083,1.161
0.41,1.676,-201.328,4.014,0.109,1.204
0.46,1.856,,,0.1078,1.191
0.51,2.037,,,0.1165,1.26
0.56,2.217,,,0.1204,1.255
0.605,2.379,,,0.1105,
0.62,2.433,,,0.1134,
0.67,2.614,,,0.1045,
0.72,2.794,,,0.1063,
0.77,2.974,,,0.1235,
0.82,3.155,,,0.128,
0.85,3.263,,,0.1424,0.996
0.9,3.443,,,0.1378,1.058
0.95,3.623,,,0.1212,1.126
1,3.804,-193.088,11.213,0.124,1.094
1.05,3.971,,,0.1236,1.172
1.1,4.135,,,0.117,0.861
1.15,4.299,,,0.1196,0.817
1.2,4.463,-198.292,0.985,0.1143,0.912
1.25,4.627,-190.352,7.783,0.102,0.92
1.3,4.791,-194.422,0.721,0.1241,1.097
1.35,4.954,,,0.1285,1.275
1.4,5.118,,,0.1379,1.117
1.45,5.282,,,0.1261,1.007
1.5,5.446,-191.158,9.889,0.1271,0.891
1.55,5.61,-197.243,2.582,0.1041,1.061
1.6,5.774,,,0.1134,1.05
1.65,5.938,,,0.1167,0.996
1.7,6.102,-196.274,0.395,0.1181,1.217
1.75,6.245,,,0.1296,1.099
1.8,6.374,-193.996,0.801,0.1103,1.146
1.85,6.503,,,0.0708,1.037
1.9,6.681,,,0.0735,0.514
1.945,6.909,,,0.0637,
1.995,7.162,-192.33,3.061,0.0619,1.108
2.045,7.415,-188.724,0.366,0.0574,1.155
2.095,7.668,-191.9,1.476,0.0684,1.182
2.145,7.92,-195.078,3.562,0.0667,1.216
2.195,8.173,-190.934,5.254,0.0604,0.762
2.245,8.449,-186.728,1.479,0.0583,0.846
2.295,8.768,-184.18,4.482,0.0773,1.351
2.345,9.08,-200.142,2.123,0.072,1.168
2.395,9.391,-182.704,3.364,0.0973,1.379
2.445,9.702,-203.93,3.307,0.0866,1.185
2.495,10.014,-185.354,1.496,0.0795,1.241
2.545,10.314,,,0.1068,1.303
2.595,10.59,,,0.1149,1.103
2.645,10.865,,,0.0901,1.07
2.695,11.14,,,0.107,
2.745,11.416,,,0.1302,
2.795,11.692,-188.422,,0.1587,
2.845,11.962,,,0.2457,1.327
2.895,12.22,,,0.2389,
2.945,12.478,,,0.2751,
2.995,12.737,,,0.2955,
3.04,12.969,,,0.2116,
3.09,13.176,,,0.2543,1.273
3.14,13.349,-193.236,3.098,0.2089,1.183
3.19,13.522,,,0.233,1.364
3.24,13.695,,,0.2417,1.274
3.29,13.868,,,0.2465,1.226
3.34,14.041,,,0.2866,1.169
3.39,14.214,,,0.272,1.218
3.44,14.387,,,0.2508,1.145
3.49,14.56,,,0.3025,1.331
3.54,14.733,,,0.3682,1.267
3.59,14.912,,,0.5044,1.448
3.64,15.114,,,0.4773,1.338
3.69,15.316,,,0.5284,1.252
3.74,15.518,,,0.5456,1.287
3.79,15.72,,,0.5457,1.344
3.84,15.922,-189.355,6.217,0.5515,1.265
3.89,16.108,-183.91,,0.5933,1.259
3.94,16.233,,,0.5598,1.189
3.99,16.358,,,0.6007,1.269
4.04,16.483,,,0.5857,1.088
4.09,16.608,,,0.6296,1.2
4.14,16.732,,,0.6061,1.08
4.19,16.857,,,0.5687,1.277
4.24,16.982,,,0.6297,1.402
4.29,17.061,,,0.6133,1.646
4.34,17.139,,,0.599,1.238
4.39,17.218,-181.711,,0.5872,1.474
4.44,17.297,,,0.6286,1.56
4.49,17.376,,,0.6436,1.918
4.54,17.454,,,0.6022,1.365
4.59,17.533,,,0.5679,1.652
4.64,17.626,,,0.6136,1.341
4.69,17.742,,,0.5574,1.081
4.74,17.858,-188.078,3.644,0.6305,1.422
4.79,17.992,,,0.542,1.393
4.84,18.126,-189.62,3.323,0.4258,1.573
4.89,18.265,,,0.5457,1.251
4.94,18.418,-190.649,6.109,0.4982,1.624
4.99,18.572,-183.694,,0.5059,1.403
5.04,18.726,-197.24,5.098,0.5491,1.557
5.09,18.88,,,0.5039,1.046
5.14,19.033,-196.414,2.674,0.5099,1.735
5.19,19.157,-195.257,4.285,0.5162,1.158
5.235,19.267,,,0.5016,1.382
5.25,19.308,,,0.4867,
5.3,19.424,,,0.5184,
5.35,19.54,,,0.4963,1.491
5.4,19.656,,,0.5209,1.661
5.45,19.772,-193.45,5.436,0.4259,1.365
5.5,19.888,,,0.4574,1.397
5.55,20.005,,,0.5102,1.19
5.6,20.121,,,0.5372,1.549
5.65,20.237,-193.225,5.118,0.4826,1.35
5.7,20.363,,,0.5004,1.525
5.75,20.5,,,0.5046,1.531
5.8,20.637,,,0.4488,1.418
5.85,20.774,-190.682,3.876,0.4838,1.608
5.9,20.91,,,0.4897,1.402
5.95,21.047,,,0.5211,1.411
6,21.184,-192.707,7.299,0.4351,1.256
6.05,21.325,-195.786,4.171,0.4955,1.45
6.1,21.512,,,0.4807,1.605
6.15,21.698,,,0.5028,1.223
6.2,21.884,,,0.5645,1.324
6.25,22.071,,,0.4347,
6.3,22.257,,,0.399,
6.345,22.425,-192.226,1.149,0.4553,1.311
6.395,22.611,-193.989,,0.4457,1.234
6.445,22.798,,,0.5262,1.396
6.495,22.984,,,0.4774,1.165
6.545,23.17,,,0.4345,1.288
6.595,23.351,-189.592,4.088,0.4319,1.433
6.645,23.506,-188.337,3.127,0.4719,1.442
6.695,23.609,-187.299,2.094,0.3964,1.416
6.745,23.698,,,0.5049,
6.795,23.787,,,0.497,1.414
6.845,23.877,,,0.5308,
6.895,23.966,,,0.544,1.201
6.945,24.055,,,0.5698,1.382
6.995,24.144,,,0.5462,
7.045,24.234,,,0.566,1.429
7.09,24.314,-185.014,1.51,0.4664,1.256
7.14,24.403,,,0.4542,0.885
7.19,24.492,,,0.4922,1.428
7.24,24.659,-191.087,4.349,0.6756,1.248
7.29,24.834,,,0.4769,1.279
7.34,25.008,-186.562,1.549,0.4798,1.309
7.39,25.246,,,0.4582,1.231
7.44,25.511,,,0.5645,1.347
7.49,25.776,-189.265,1.937,0.4238,1.459
7.54,26.041,,,0.5238,1.188
7.59,26.306,,,0.5098,1.18
7.64,26.571,-188.546,0.808,0.4165,1.274
7.69,26.836,-193.468,1.593,0.4035,1.302
7.74,27.1,-193.732,1.706,0.3953,1.357
7.79,27.365,,,0.4307,1.365
7.84,27.58,,,0.4654,1.508
7.89,27.782,-194.254,0.521,0.361,1.243
7.94,28.06,,,0.4955,1.643
7.99,28.339,-197.756,2.866,0.3919,1.34
8.04,28.618,-192.17,2.992,0.4659,1.476
8.09,28.896,-195.852,1.187,0.481,1.282
8.14,29.175,,,0.4711,1.527
8.19,29.481,,,0.4979,1.706
8.24,29.76,-190.448,0.565,0.4095,
8.29,30.039,-191.73,3.106,0.3118,1.507
8.34,30.301,-191.69,2.138,0.4073,1.408
8.39,30.497,-187.984,0.53,0.4624,1.374
8.44,30.693,-182.646,4.636,0.4438,1.274
8.49,30.888,-186.23,0.993,0.5192,1.286
8.54,31.084,-183.244,0.166,0.4541,1.297
8.59,31.28,-183.086,3.125,0.5053,1.291
8.64,31.476,-181.959,2.534,0.3039,1.295
8.69,31.672,-192.499,0.907,0.2546,1.428
8.74,31.868,-191.818,1.539,0.3351,1.326
8.79,32.038,,,0.3306,
8.84,32.208,-189.808,4.293,0.2817,1.29
8.89,32.377,-190.502,0.518,0.3481,1.332
8.94,32.547,-198.52,0.923,0.2627,1.215
8.99,32.717,-187.204,1.534,0.2486,1.279
9.04,32.915,-190.06,1.737,0.3947,1.291
9.09,33.12,-193.648,1.01,0.3097,1.381
9.14,33.326,-183.067,1.444,0.3663,1.299
9.19,33.531,-188.605,6.022,0.3298,1.317
9.24,33.736,-197.028,2.486,0.2359,1.427
9.295,33.962,-194.794,,0.3541,
9.345,34.171,,,0.3306,1.418
9.395,34.414,,,0.2567,1.451
9.445,34.656,,,0.246,1.531
9.495,34.899,,,0.2797,1.472
9.545,35.141,-197.088,1.954,0.3037,1.407
9.595,35.384,-196.141,3.107,0.268,1.23
9.645,35.626,,,0.3968,1.327
9.695,35.869,-189.75,0.581,0.3892,1.376
9.745,36.113,-196.058,1.133,0.3104,1.341
9.795,36.357,-202.244,3.794,0.2898,1.333
9.845,36.601,-198.664,0.876,0.2355,1.44
9.895,36.844,-195.624,1.735,0.2574,1.394
9.945,37.088,-199.482,0.289,0.2761,1.364
9.995,37.332,-201.706,6.112,0.2347,1.251
10.045,37.584,-196.14,2.548,0.2904,1.249
10.095,37.907,-199.162,0.934,0.2421,1.364
10.145,38.23,-193.966,0.186,0.3962,1.411
10.195,38.553,-192.964,0.632,0.4322,1.307
10.245,38.876,,,0.4586,1.376
10.295,39.189,-189.6,0.735,0.6037,1.169
10.345,39.4,,,0.4702,1.117
10.39,39.591,,,0.4543,
10.44,39.803,,,0.4976,
10.49,40.014,,,0.5248,
10.54,40.226,,,0.4934,
10.59,40.438,,,0.4541,
10.64,40.65,,,0.4004,
10.69,40.861,,,0.3548,
10.74,41.064,,,0.4588,
10.79,41.265,,,0.4853,
10.84,41.466,,,0.3834,
10.89,41.667,,,0.3799,
10.94,41.867,,,0.3956,
10.99,42.068,,,0.3211,
11.04,42.269,,,0.3381,
11.09,42.47,,,0.3501,
11.14,42.671,,,0.489,
11.19,42.871,,,0.475,
11.24,43.072,,,0.5251,
11.29,43.273,,,0.4295,
11.34,43.474,,,0.393,
11.39,43.675,,,0.4051,
11.44,43.875,,,0.3931,
